job_id,job_title,company,location,country,experience_min,experience_max,salary_min,salary_max,currency,employment_type,work_mode,industry,job_description,skills,posted_date,source
JOB0001,Data Analyst,Hexaware,Chennai,India,4,7,11.5,20.1,INR_LPA,Full-time,Onsite,Travel Tech,"Join Hexaware as a Data Analyst! We need someone proficient in PostgreSQL, SQL, Pandas, Power BI, Python. This role is onsite and based in Chennai. Prior exposure to Scikit-learn, Tableau preferred.",PostgreSQL; SQL; Pandas; Power BI; Python,2026-04-04,careerpulse_demo
JOB0002,AI Engineer,Accenture Data,Pune,India,0,2,5.6,10.2,INR_LPA,Contract,Onsite,EdTech,"Join Accenture Data as a AI Engineer! We need someone proficient in Machine Learning, Docker, PyTorch, AWS, NLP, Artificial Intelligence, TensorFlow. This role is onsite and based in Pune. Prior exposure to SQL, Python preferred.",Machine Learning; Docker; PyTorch; AWS; NLP; Artificial Intelligence; TensorFlow,2026-04-11,careerpulse_demo
JOB0003,Business Analyst,Hexaware,Ahmedabad,India,2,4,7.1,13.3,INR_LPA,Internship,Hybrid,SaaS,"Hexaware is hiring a Business Analyst with 2-4 years of experience. Required skills: Data Visualization, Tableau, Power BI, Business Intelligence, Statistics, Excel. Knowledge of Airflow, Python is a strong plus. You will work on real business problems in the SaaS domain.",Data Visualization; Tableau; Power BI; Business Intelligence; Statistics; Excel,2026-04-25,careerpulse_demo
JOB0004,Data Analyst,Flipkart,Pune,India,2,4,7.6,13.8,INR_LPA,Full-time,Hybrid,Retail Tech,"We are looking for a Data Analyst to join our growing analytics team in Pune. The ideal candidate has experience with Excel, SQL, PostgreSQL, Statistics. Responsibilities include working with large datasets, building models, and collaborating with cross-functional teams.",Excel; SQL; PostgreSQL; Statistics,2026-04-27,careerpulse_demo
JOB0005,Business Analyst,Accenture Data,Chennai,India,6,10,14.6,25.6,INR_LPA,Full-time,Onsite,Logistics Tech,"Join Accenture Data as a Business Analyst! We need someone proficient in Business Intelligence, Data Visualization, Tableau, Excel, SQL. This role is onsite and based in Chennai. Prior exposure to Statistics, Django preferred.",Business Intelligence; Data Visualization; Tableau; Excel; SQL,2026-04-27,careerpulse_demo
JOB0006,Software Engineer,Razorpay,Kolkata,India,0,2,4.4,9.0,INR_LPA,Full-time,Hybrid,IT Services,"Razorpay is hiring a Software Engineer with 0-2 years of experience. Required skills: FastAPI, REST APIs, SQL, Python. Knowledge of Spark, Data Visualization is a strong plus. You will work on real business problems in the IT Services domain.",FastAPI; REST APIs; SQL; Python,2026-04-27,careerpulse_demo
JOB0007,Business Analyst,PhonePe,Bengaluru,India,2,4,7.1,13.3,INR_LPA,Full-time,Remote,SaaS,"PhonePe is hiring a Business Analyst with 2-4 years of experience. Required skills: Data Visualization, Statistics, SQL, Tableau. Knowledge of Pandas, Pandas is a strong plus. You will work on real business problems in the SaaS domain.",Data Visualization; Statistics; SQL; Tableau,2026-04-28,careerpulse_demo
JOB0008,Data Engineer,Razorpay,Kolkata,India,0,1,4.8,8.6,INR_LPA,Full-time,Remote,Logistics Tech,"Exciting opportunity for a Data Engineer at Razorpay. Must have hands-on experience with PostgreSQL, Python, Big Data, Spark, Airflow. Familiarity with Machine Learning, Docker is beneficial. 0-1 years experience required.",PostgreSQL; Python; Big Data; Spark; Airflow,2026-04-29,careerpulse_demo
JOB0009,Data Engineer,Capgemini India,Chennai,India,0,1,4.8,8.6,INR_LPA,Internship,Hybrid,EdTech,"We are looking for a Data Engineer to join our growing analytics team in Chennai. The ideal candidate has experience with Python, Big Data, Docker, AWS, PostgreSQL, SQL. Responsibilities include working with large datasets, building models, and collaborating with cross-functional teams.",Python; Big Data; Docker; AWS; PostgreSQL; SQL,2026-05-01,careerpulse_demo
JOB0010,Data Engineer,Wipro Analytics,Ahmedabad,India,5,8,18.0,27.4,INR_LPA,Full-time,Onsite,FinTech,"Join Wipro Analytics as a Data Engineer! We need someone proficient in Big Data, Airflow, Python, AWS. This role is onsite and based in Ahmedabad. Prior exposure to Power BI, Git preferred.",Big Data; Airflow; Python; AWS,2026-05-05,careerpulse_demo
